Cruise,Station,Date,Longitude,Latitude,BottomDepth,Depth,Temperature,Salinity,Oxygen,PDA,Nits,Phosphate,Silicate,COD,AOU,WaterMassNo
2,18,2013-02-22T15:01,-93.02484,24.99974,3633,1189.841,4.6658,34.9482,4.2401,27.688289,26.08,1.76,25.52,40.4,127.5082,6
2,18,2013-02-22T15:01,-93.02484,24.99974,3633,1975.717,4.2829,34.9703,4.716,27.755539,23.57,1.52,23.95,43,110.2125,6
2,18,2013-02-22T15:01,-93.02484,24.99974,3633,2470.21,4.3071,34.9723,4.7476,27.760379,23.26,1.57,23.73,39.6,109.0501,6
2,18,2013-02-22T15:01,-93.02484,24.99974,3633,3566.254,4.4196,34.9735,4.7301,27.763285,23.39,1.51,24.26,44.5,109.9487,6
2,19,2013-02-22T23:14,-92.02069,25.01005,3530,9.935,23.0599,36.55,4.6687,25.095733,0,0.13,2.11,76,7.6766,1
2,19,2013-02-22T23:14,-92.02069,25.01005,3530,47.686,22.6826,36.5493,4.6775,25.206737,0,0.12,1.8,64.7,8.7284,1
2,19,2013-02-22T23:14,-92.02069,25.01005,3530,72.518,22.2191,36.5385,4.3005,25.332632,2.66,0.19,2.51,62.1,26.9383,1
2,19,2013-02-22T23:14,-92.02069,25.01005,3530,147.988,17.8064,36.3427,2.7019,26.359695,14.04,0.71,4.92,48.5,115.0656,3
2,19,2013-02-22T23:14,-92.02069,25.01005,3530,396.052,10.3166,35.2523,2.481,27.107348,28.16,1.68,14.32,46.1,165.1527,4.5
2,19,2013-02-22T23:14,-92.02069,25.01005,3530,595.279,7.6099,34.9599,2.7178,27.313707,31.36,1.85,20.05,39.8,172.5528,5
2,19,2013-02-22T23:14,-92.02069,25.01005,3530,793.324,5.8739,34.9088,3.3958,27.510416,30.05,1.95,23.65,41.2,155.2339,5
2,19,2013-02-22T23:14,-92.02069,25.01005,3530,992.171,4.9661,34.9356,3.9796,27.642536,27.04,1.87,24.84,43.8,136.5013,6
2,19,2013-02-22T23:14,-92.02069,25.01005,3530,1188.852,4.4986,34.9557,4.3969,27.712413,25.02,1.69,24.55,42.3,121.9221,6
2,19,2013-02-22T23:14,-92.02069,25.01005,3530,1976.7,4.2686,34.9708,4.7188,27.757414,23.68,1.59,23.91,44.1,110.1993,6
2,19,2013-02-22T23:14,-92.02069,25.01005,3530,2469.226,4.3016,34.9721,4.7345,27.760789,23.42,1.44,24.06,42,109.6623,6
2,19,2013-02-22T23:14,-92.02069,25.01005,3530,3486.119,4.4084,34.9733,4.7102,27.763233,23.38,1.5,24.72,44,110.8239,6
2,20,2013-02-23T10:17,-91.01279,24.9992,3536,8.942,23.0668,36.5277,4.6698,25.07675,0,0.16,1.98,96.5,7.6296,1
2,20,2013-02-23T10:17,-91.01279,24.9992,3536,49.672,22.3085,36.5043,4.6897,25.279851,0,0.17,1.99,68.6,9.6652,1
2,20,2013-02-23T10:17,-91.01279,24.9992,3536,72.518,22.2087,36.4949,4.6714,25.302446,0.79,0.18,2.19,66.7,10.8715,1
2,20,2013-02-23T10:17,-91.01279,24.9992,3536,148.981,17.3901,36.311,2.8703,26.437316,3.61,0.38,4.4,80.1,109.6382,3
2,20,2013-02-23T10:17,-91.01279,24.9992,3536,262.135,12.664,35.5905,2.5438,26.92988,23.47,1.24,10.4,47.9,148.4178,4
2,20,2013-02-23T10:17,-91.01279,24.9992,3536,593.298,6.9384,34.9137,2.9486,27.371729,31.42,2.1,21.78,45.4,167.1176,5
2,20,2013-02-23T10:17,-91.01279,24.9992,3536,793.325,5.6486,34.9133,3.5278,27.541798,29.39,1.74,24.56,37.8,151.0938,5
2,20,2013-02-23T10:17,-91.01279,24.9992,3536,1188.853,4.467,34.9572,4.4427,27.717001,25.19,1.57,25.24,38.7,120.163,6
2,20,2013-02-23T10:17,-91.01279,24.9992,3536,1975.718,4.2764,34.9707,4.7227,27.756487,23.31,1.6,24.43,39.9,109.9693,6
2,20,2013-02-23T10:17,-91.01279,24.9992,3536,2469.228,4.3051,34.9724,4.7529,27.760634,23.58,1.39,26.06,39.6,108.8334,6
2,20,2013-02-23T10:17,-91.01279,24.9992,3536,3469.506,4.4088,34.9739,4.7413,27.763368,23.04,1.31,24.2,55,109.4487,6
2,21,2013-02-23T18:06,-89.98553,25.02346,3626,11.922,23.2898,36.5351,4.6622,25.017394,0,0.06,2.57,93.9,7.1317,1
2,21,2013-02-23T18:06,-89.98553,25.02346,3626,50.666,22.661,36.5163,4.6859,25.188049,0,0.08,2.51,83.4,8.4863,1
2,21,2013-02-23T18:06,-89.98553,25.02346,3626,73.511,22.1285,36.5067,4.2974,25.334207,0.99,0.16,2.86,91.9,27.4593,1
2,21,2013-02-23T18:06,-89.98553,25.02346,3626,149.974,17.3095,36.2981,2.8796,26.446977,14.14,0.63,5.3,86.7,109.6164,3
2,21,2013-02-23T18:06,-89.98553,25.02346,3626,440.671,8.9033,35.0682,2.5984,27.199362,30.05,1.94,17.08,43.4,169.0602,4.5
2,21,2013-02-23T18:06,-89.98553,25.02346,3626,599.241,6.7642,34.9135,2.9826,27.395358,31.14,1.84,22.23,44.2,166.8382,5
2,21,2013-02-23T18:06,-89.98553,25.02346,3626,800.252,5.5546,34.9182,3.5431,27.55722,29.4,1.55,25.27,40.9,151.1027,5
2,21,2013-02-23T18:06,-89.98553,25.02346,3626,1199.717,4.4945,34.9559,4.4012,27.713069,25.26,1.67,25.4,36,110.3209,6
2,21,2013-02-23T18:06,-89.98553,25.02346,3626,1999.334,4.2727,34.9708,4.7157,27.757198,23.54,1.42,24.62,40.9,109.6033,6
2,21,2013-02-23T18:06,-89.98553,25.02346,3626,2500.644,4.3042,34.9723,4.736,27.760983,23.79,1.63,24.23,43.1,111.1291,6
2,21,2013-02-23T18:06,-89.98553,25.02346,3626,3505.663,4.4114,34.9734,4.7031,27.763099,23.45,1.64,25.11,48.6,,6
2,22,2013-02-24T01:15,-88.99188,25.0002,3490,9.935,23.8747,36.5286,4.7011,24.839617,0,0.04,1.92,68.7,3.3149,1
2,22,2013-02-24T01:15,-88.99188,25.0002,3490,50.666,23.0738,36.4938,4.7136,25.051472,0,0.06,1.89,68.5,5.7686,1
2,22,2013-02-24T01:15,-88.99188,25.0002,3490,73.511,22.4794,36.4891,4.6405,25.220873,2.13,0.12,2.61,57.8,11.1991,1
2,22,2013-02-24T01:15,-88.99188,25.0002,3490,147.989,17.8262,36.3857,3.0278,26.387636,12.8,0.57,4.61,51.4,100.7176,3
2,22,2013-02-24T01:15,-88.99188,25.0002,3490,398.035,9.7921,35.1828,2.5421,27.142656,28.92,1.75,15.5,42.4,165.7702,4.5
2,22,2013-02-24T01:15,-88.99188,25.0002,3490,595.279,7.2122,34.9352,2.8544,27.350765,31.34,2.03,21.15,37.4,169.3179,5
2,22,2013-02-24T01:15,-88.99188,25.0002,3490,793.325,5.7835,34.9138,3.4362,27.525609,29.8,2.01,24.32,45.8,154.112,5
2,22,2013-02-24T01:15,-88.99188,25.0002,3490,991.182,4.9681,34.9355,4.0003,27.642213,27.23,1.69,25.01,55.1,135.5841,6
2,22,2013-02-24T01:15,-88.99188,25.0002,3490,1189.841,4.4833,34.9566,4.4373,27.714727,25.12,1.67,25.05,38.4,120.2766,6
2,22,2013-02-24T01:15,-88.99188,25.0002,3490,1976.702,4.2775,34.971,4.7183,27.756578,23.63,1.55,24.38,38.7,110.1528,6
2,22,2013-02-24T01:15,-88.99188,25.0002,3490,2469.227,4.3045,34.9724,4.7073,27.760632,23.57,1.56,24.06,41.1,110.8248,6
2,22,2013-02-24T01:15,-88.99188,25.0002,3490,3454.843,4.4076,34.9763,4.7475,27.765044,22.87,1.54,22.87,43.7,109.1687,6
2,23,2013-02-24T11:22,-88.0148,25.0366,3426,8.942,25.3867,36.0795,4.6185,24.041364,0,0,1.23,79.8,2.114,1
